City,Price(TRY),Brand,Series,Model,Year,Mileage(km),TransmissionType,FuelType,BodyType,EngineSize(cc),EnginePower(HP),DriveTrain,ListingYear,ListingMonth,ListingDay
77,345000,0,25,1098,2000,369000,1,4,6,1781,125,1,2025,4,6
77,780000,0,24,1073,2013,235000,2,0,3,1598,105,1,2025,4,6
77,3355000,0,26,1124,2023,55250,0,4,3,1801,201,0,2025,4,6
43,1774950,0,27,1131,2016,270000,2,0,6,1968,190,1,2025,4,6
77,794000,0,25,1100,2010,288500,0,2,6,1798,160,1,2025,4,6
5,1215000,0,24,1046,2016,115000,2,0,6,1598,110,1,2025,4,6
77,2295000,0,28,879,2012,136000,0,0,1,2501,226,0,2025,4,6
58,1099000,0,24,1073,2016,175000,0,0,3,1401,101,1,2025,4,6
52,880000,0,24,1062,2012,146500,0,2,3,1201,101,1,2025,4,6
29,1400000,0,24,1045,2018,132000,0,0,6,1401,101,1,2025,4,6
5,1165000,0,24,1057,2017,142250,0,2,3,1200,101,1,2025,4,6
0,1550000,0,24,1055,2020,99000,0,2,6,1401,126,1,2025,4,6
5,710000,0,27,1136,2007,305000,0,0,6,2967,233,0,2025,4,6
78,965000,0,25,1101,2012,245000,0,0,6,1801,126,1,2025,4,6
77,1195000,0,24,1046,2017,160000,0,0,6,1401,101,1,2025,4,6
77,1165000,0,24,1072,2014,150000,0,0,3,1401,101,1,2025,4,6
5,1938750,0,24,1053,2022,74000,0,4,6,1401,126,1,2025,4,6
6,2950000,0,26,1125,2020,139000,0,0,3,1801,201,0,2025,4,6
77,4990000,0,27,1140,2023,38000,0,0,6,1801,201,0,2025,4,6
29,1375000,0,25,1101,2015,212000,0,0,6,1801,126,1,2025,4,6
29,1170000,0,25,1101,2012,174500,0,0,6,1968,177,1,2025,4,6
57,2450000,0,28,860,2016,235000,0,2,1,1801,251,0,2025,4,6
45,695000,0,25,1097,2007,205000,1,4,6,1595,102,1,2025,4,6
20,825000,0,24,1062,2010,110000,0,2,3,1201,101,1,2025,4,6
5,999000,0,27,1131,2011,237000,0,0,6,1968,170,1,2025,4,6
